Product,CustomerGender,Location,Region,TotalPrice,StartDate,Deposit,DailyRate,TotalDays,AmountPaid30,AmountPaid60,AmountPaid360,LoanStatus360
Product B,Male,Location 2,Region 2,16600,7/4/2014,2000,40,365,3121,4241,13621,Active
Product B,Male,Location 3,Region 3,16600,1/2/2015,2000,40,365,3061,4171,15041,Active
Product C,Female,Location 5,Region 5,15600,12/8/2012,1000,40,365,2160,3280,15340,Active
Product B,Male,Location 6,Region 1,16600,2/20/2015,2000,40,365,3041,4241,15321,Active
Product D,Female,Location 7,Region 2,20250,10/28/2013,2000,50,365,3470,4820,13720,Active
Product B,Female,Location 10,Region 2,16600,4/19/2015,2000,40,365,3201,4141,14141,Active
Product A,Male,Location 11,Region 3,20250,7/4/2016,2000,50,365,1851,3251,17701,Active
Product B,Male,Location 12,Region 6,16600,4/24/2014,2000,40,365,3971,4131,15351,Active
Product A,Female,Location 3,Region 3,22250,9/3/2015,4000,50,365,5750,7450,20250,Active
Product A,Female,Location 13,Region 6,20250,7/25/2016,2000,50,365,1951,3251,17351,Active
Product B,Female,Location 15,Region 2,16600,5/1/2014,2000,40,365,3160,4480,16380,Active
Product D,Female,Location 16,Region 1,20250,3/29/2013,2000,50,365,3090,4190,10790,Active
Product B,Male,Location 17,Region 3,16600,10/3/2014,2000,40,365,3121,5161,13441,Active
Product A,Male,Location 19,Region 2,20750,9/18/2015,2500,50,365,1680,1680,5010,Active
Product A,Female,Location 23,Region 4,22250,5/20/2015,4000,50,365,5500,6900,21000,Active
Product B,Male,Location 27,Region 2,16600,5/31/2014,2000,40,365,3121,4801,15001,Active
Product A,Male,Location 25,Region 3,22250,8/29/2015,4000,50,365,4000,4810,8010,Active
Product B,Female,Location 26,Region 3,16600,6/6/2014,2000,40,365,3401,4201,15381,Active
Product B,Male,Location 29,Region 1,16600,3/27/2015,2000,40,365,3128,4281,15781,Active
Product E,Male,Location 30,Region 2,54625,10/11/2015,9000,125,365,12126,15251,45626,Active
Product B,Male,Location 31,Region 4,16600,5/12/2014,2000,40,365,3560,4760,16200,Active
Product A,Male,Location 17,Region 3,22250,7/7/2015,4000,50,365,6200,8400,21875,Active
Product A,Male,Location 33,Region 3,19250,2/13/2016,1000,50,365,1400,2550,12700,Active
Product C,NotSpecified,Location 34,Region 1,15600,12/21/2012,1000,40,365,2240,4560,14520,Active
Product D,Female,Location 35,Region 6,20250,10/2/2013,2000,50,365,3551,4751,19101,Active
Product A,Male,Location 37,Region 4,22250,9/11/2015,4000,50,365,6300,6600,14800,Active
Product A,Female,Location 38,Region 3,19250,11/7/2015,1000,50,365,350,1750,7500,Active
Product F,Female,Location 39,Region 6,69225,4/17/2016,9000,165,365,14501,16846,64001,Active
Product D,Female,Location 40,Region 6,20250,12/14/2013,2000,50,365,5821,6821,15191,Active
Product B,Male,Location 30,Region 2,16600,5/9/2015,2000,40,365,3641,4841,16311,Active
Product B,Male,Location 41,Region 1,16600,2/24/2014,2000,40,365,3041,4231,16361,Active
Product B,Male,Location 42,Region 4,16600,8/9/2014,2000,40,365,3430,4310,16024,Active
Product A,Female,Location 22,Region 6,19250,3/7/2016,1000,50,365,-2870,-2870,1160,Active
Product B,Male,Location 43,Region 3,16600,2/22/2014,2000,40,365,3600,4800,16400,Active
Product A,Female,Location 46,Region 2,19250,2/8/2016,1000,50,365,250,850,5050,Active
Product B,Female,Location 47,Region 7,16600,7/24/2014,2000,40,365,3121,3921,12721,Active
Product B,Male,Location 50,Region 1,16600,3/24/2014,2000,40,365,2920,4200,15400,Active
Product B,Male,Location 26,Region 3,16600,2/22/2015,2000,40,365,3041,3561,9081,Active
Product C,NotSpecified,Location 52,Region 6,15600,9/13/2012,1000,40,365,2700,3500,11610,Active
Product B,Female,Location 25,Region 3,16600,10/12/2014,2000,40,365,3401,4401,16141,Active
